No,region,store,dates,order_items,reviews,taste_score,quantity_score,delivery_score,,order_세분화1,order_세분화2,order_세분화3,order_세분화4,order_세분화5,order_세분화6,order_세분화7,order_세분화8,,순살 여부
32151,교촌치킨,독립문점,2023년 08월 11일,반반콤보/1,맛있게 잘먹었습니다 👍,5,5,5,,반반콤보,,,,,,,,,X
32152,교촌치킨,독립문점,2023년 08월 06일,허니순살/1,맛있게 먹었습니다~~,5,5,5,,허니순살,,,,,,,,,0
32153,교촌치킨,독립문점,2023년 08월 05일,허니맵떡세트/1,"레드디핑소스와 콜라는 왜 안주는지??
먹다가 갑자기 생각났네요!
이제 콜라 안주나요??",4,5,5,,사이드,,,,,,,,,X
32154,교촌치킨,독립문점,2023년 08월 04일,레허반반순살/1,레드는 역시 맵네요. 그리구 신기한건 허니 조각들보다 레드 조각들이 커요. 약간 이상ㅋㅋ허니는 역시 맛있엇음,5,5,5,,레허반반순살,,,,,,,,,0
32155,교촌치킨,독립문점,2023년 08월 03일,"허니콤보/1,반반윙/1,코카콜라（1.25L）/1",좋아요 ~~~ 잘먹었습니다 ~~~~,5,5,5,,허니콤보, 반반윙,,,,,,,,X
32156,교촌치킨,독립문점,2023년 08월 01일,반반콤보/1,맛있게 잘먹었습니다,5,5,5,,반반콤보,,,,,,,,,X
32157,교촌치킨,독립문점,2023년 07월 28일,"허니콤보/1,교촌콤보/1",맛있어요!! 허니콤보 아이가 잘먹어요,5,5,5,,콤보, 허니콤보,,,,,,,,X
32158,교촌치킨,독립문점,2023년 07월 23일,시그니처순살세트/1(사이드메뉴(국물맵떡)),바삭바삭 맛있습니다.,5,5,5,,시그니처순살세트,,,,,,,,,0
32159,교촌치킨,독립문점,2023년 07월 23일,"반반콤보/1,코카콜라（1.25L）/1",정말맛있어요 늘 여기서만시켜먹을게요,5,5,5,,반반콤보,,,,,,,,,X
32160,교촌치킨,독립문점,2023년 07월 12일,레드윙/1,배달 빠르고 맛있어요,5,5,5,,레드윙,,,,,,,,,X
32161,교촌치킨,독립문점,2023년 07월 10일,"허니콤보/1,교촌콤보/1","맛있어요
콜라 좀 큰거 주세요",5,5,5,,콤보, 허니콤보,,,,,,,,X
32162,교촌치킨,독립문점,2023년 07월 09일,레드윙[S]/1,교촌 레드 넘 맛있어요,5,5,0,,레드윙,,,,,,,,,X
32163,교촌치킨,독립문점,2023년 07월 09일,허니콤보/1(소스 및 무우(레드디핑소스)),진리의 허니콤보 맛있게 먹었어요,5,5,5,,허니콤보,,,,,,,,,X
32164,교촌치킨,독립문점,2023년 07월 08일,교촌콤보/1,맛있게 잘 먹었습니다,5,5,5,,콤보,,,,,,,,,X
32165,교촌치킨,독립문점,2023년 07월 08일,허니콤보/1(사이드메뉴(웨지감자)),진짜 맛있어요bb,5,5,5,,허니콤보, 사이드,,,,,,,,X
32166,교촌치킨,독립문점,2023년 07월 07일,반반오리지날（한마리）/1(사이드메뉴(웨지감자)),"친절한 배닭과 변함없는 맛 """"
넘 맛있게 먹었네요^^
한가지 아쉬운점은 감자가 너무 적었어요;;",4,4,5,,반반오리지날, 사이드,,,,,,,,X
32167,교촌치킨,독립문점,2023년 07월 07일,"허니콤보/1,교촌콤보/1",긴속하게 잘 받았습니다. 잘먹겠습니다.,5,5,5,,콤보, 허니콤보,,,,,,,,X
32168,교촌치킨,독립문점,2023년 06월 30일,"반반오리지날（한마리）/1,블랙시크릿순살[S]/1,웨지감자/1",잘 먹었어요......,4,4,4,,블랙시크릿순살, 반반오리지날, 사이드,,,,,,,0
32169,교촌치킨,독립문점,2023년 06월 28일,"반반오리지날（한마리）/1(소스 및 무우(무),소스 및 무우(잠발라야소스))",맛있게 잘먹었습니다 ~^^,5,4,5,,반반오리지날,,,,,,,,,X
32170,교촌치킨,독립문점,2023년 06월 26일,교촌콤보/1,양이 너무 적어서 놀랬어요ㅠ,5,4,5,,콤보,,,,,,,,,X
32171,교촌치킨,독립문점,2023년 06월 25일,반반오리지날（한마리）/1,맛있어요. 질먹었습니다.,5,5,5,,반반오리지날,,,,,,,,,X
32172,교촌치킨,독립문점,2023년 06월 25일,교촌콤보/1,맛있어용 ~~100%👍,5,5,5,,콤보,,,,,,,,,X
32173,교촌치킨,독립문점,2023년 06월 21일,레허반반순살/1,예정 시간보다 빠르게 잘 받았습니다,5,5,5,,레허반반순살,,,,,,,,,0
32174,교촌치킨,독립문점,2023년 06월 20일,허니콤보/1,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5,5,5,,허니콤보,,,,,,,,,X
32175,교촌치킨,독립문점,2023년 06월 20일,"허니콤보/1,교촌콤보/1","맛있어요
추천합니다
배달도 빨라요",5,5,5,,콤보, 허니콤보,,,,,,,,X
32176,교촌치킨,독립문점,2023년 06월 20일,반반윙/1,언제나 맛있는 교촌치킨입니다,5,5,5,,반반윙,,,,,,,,,X
32177,교촌치킨,독립문점,2023년 06월 16일,허니콤보/1,하이볼이랑 먹기 좋네요.,5,5,5,,허니콤보,,,,,,,,,X
32178,교촌치킨,독립문점,2023년 06월 14일,허니콤보/1,"허니콤보 말모~~
하와이에서놀러온
사촌들시켜줬어요",5,5,5,,허니콤보,,,,,,,,,X
32179,교촌치킨,독립문점,2023년 06월 12일,허니오리지날（한마리）/1,맛있어요 자주 시켜먹는곳이에요~^^,5,4,5,,허니오리지날,,,,,,,,,X
32180,교촌치킨,독립문점,2023년 06월 11일,"허니순살/1,웨지감자/1",배송 빠르고 하니 맛 진짜 멋있었어요,5,5,5,,허니순살, 사이드,,,,,,,,0
32181,교촌치킨,독립문점,2023년 06월 09일,"반반오리지날（한마리）/1,살살후라이드미니/1",잘 먹었어요......,4,4,4,,살살후라이드, 반반오리지날,,,,,,,,X
32182,교촌치킨,독립문점,2023년 06월 05일,반반콤보/1,"맛있게 잘 먹겠습니다~
감사합니다!",5,5,5,,반반콤보,,,,,,,,,X
32183,교촌치킨,독립문점,2023년 05월 28일,반반오리지날（한마리）/1,다른 지점은 레드에서 쓴맛 나던데 여긴 맛있어요. 감사합니다.,5,5,5,,반반오리지날,,,,,,,,,X
32184,교촌치킨,독립문점,2023년 05월 16일,"허니오리지날（한마리）/1,레드디핑소스/1",오늘은 튀김도 딱딱하지않고 빠삭해서 더 맛있어요~^^ 양념도 굿 👍,5,4,5,,허니오리지날,,,,,,,,,X
32185,교촌치킨,독립문점,2023년 04월 29일,허니콤보/1(반마리 추가(허니순살[S])),"맛있어요!!
배달도 빨랐어요!! 만족!!",5,5,5,,허니콤보, 허니순살,,,,,,,,0
32186,교촌치킨,독립문점,2023년 04월 27일,리얼후라이드/1,진짜 맛있어요👍👍👍👍👍💕💕💕💕💕,5,5,5,,리얼후라이드,,,,,,,,,X
32187,교촌치킨,독립문점,2023년 04월 24일,"허니오리지날（한마리）/1,와일드블랙소스/1",잘먹엇슴당! 마싯어오ㅎㅎ,5,5,5,,허니오리지날,,,,,,,,,X
32188,교촌치킨,독립문점,2023년 04월 18일,"리얼후라이드/1(반마리 추가(허니순살[S]),사이드메뉴(국물맵떡),사이드메뉴(쫀드칸꽈배기（시나몬슈가）))",치킨은 역시 교촌입니다,5,5,4,,허니순살, 리얼후라이드,,,,,,,,0
32189,교촌치킨,독립문점,2023년 04월 15일,허니오리지날（한마리）/1,맛있는데 배달비가 어마무시해요,4,4,4,,허니오리지날,,,,,,,,,X
32190,교촌치킨,독립문점,2023년 04월 08일,"허니콤보/1,반반콤보/1",좋아요 ~~~잘먹었습니다 ~~~,5,5,5,,허니콤보, 반반콤보,,,,,,,,X
32191,교촌치킨,독립문점,2023년 04월 07일,"레드오리지날（한마리）/1,교촌오리지날（한마리）/1,웨지감자/1,교촌무우/1",잘 받았어요......,4,4,4,,오리지날, 레드오리지날, 사이드,,,,,,,X
32192,교촌치킨,독립문점,2023년 04월 06일,"레드콤보/1,하바네로마요소스/1",너무 맛있어요  자주 주문합니다,5,5,5,,레드콤보,,,,,,,,,X
32193,교촌치킨,독립문점,2023년 04월 05일,반반오리지날（한마리）/1,👍👍👍👍👍👍👍👍👍👍😋,5,5,5,,반반오리지날,,,,,,,,,X
32194,교촌치킨,독립문점,2023년 03월 30일,반반콤보/1,교촌치킨 값 오른다고 해서 그 전에 한번 주문했네요.,5,5,5,,반반콤보,,,,,,,,,X
32195,교촌치킨,독립문점,2023년 03월 12일,허니콤보/1(반마리 추가(레드순살S)),역시 맛 최고!!!!!!!!!!!!!,5,5,5,,레드순살, 허니콤보,,,,,,,,0
32196,교촌치킨,독립문점,2023년 03월 04일,반반콤보/1,배달비가 비싸요. 치킨은 맛있어요.,5,5,5,,반반콤보,,,,,,,,,X
32197,교촌치킨,독립문점,2023년 03월 04일,허니콤보/1(소스 및 무우(교촌무우)),배달도 빨라서 따듯하게 잘 먹었습니다. 담에 또 주문할게요 ~,5,5,5,,허니콤보,,,,,,,,,X
32198,교촌치킨,독립문점,2023년 02월 20일,허니콤보/1(소스 및 무우(교촌무우)),맛있었어요. 담에 또 주문 할게요,5,5,5,,허니콤보,,,,,,,,,X
32199,교촌치킨,독립문점,2023년 02월 19일,레드콤보/1(반마리 추가(레드순살S)),배달 예상시간보다 일찍왔고 친절하게 밝게 인사해주시고 가셨습니다. 감사합니다. 교촌치킨 독립문점 역시 맛 최고!!,5,5,5,,레드콤보, 레드순살,,,,,,,,0
32200,교촌치킨,독립문점,2023년 02월 14일,허니오리지날（한마리）/1(소스 및 무우(레드디핑소스)),튀김옷이 좀 눅눅하네요ㅠ,3,5,5,,허니오리지날,,,,,,,,,X
32201,교촌치킨,독립문점,2023년 02월 10일,허니오리지날（한마리）/1(소스 및 무우(교촌무우)),맛있게 잘 먹었습니다.  또 주문 할게요,5,5,5,,허니오리지날,,,,,,,,,X
32202,교촌치킨,독립문점,2023년 02월 05일,허니오리지날（한마리）/1,바쁘셔서 그런지 양념이 군데군데 있어서 조금 아쉬웠네여,4,5,5,,허니오리지날,,,,,,,,,X
