,ID,sentences,datetime
20,"이혜영@hiver48·Oct 24, 2022","이혜영 @hiver48 · 
  끝내고                  instagram.com instagram.com 이혜영 (@hiver48) • Instagram photo 이혜영 (@hiver48) • Instagram photo",2022-10-24T13:10:34.000Z
21,"doridori@quedoridori·Oct 17, 2022","doridori @quedoridori ·  의심자가   앱으로   흉내 내는 중 
현재 한 달째이고 100% 달성 1",2022-10-17T04:37:16.000Z
22,"이혜영@hiver48·Oct 10, 2022","이혜영 @hiver48 ·  

이번에 새로 나온   손 닦을때 필수인데 좋은 기회로 사용해서 좋다          이혜영 (@hiver48) • Instagram photos and videos",2022-10-10T07:49:50.000Z
23,"SAVESELLER@savesell7·Sep 28, 2022",SAVESELLER @savesell7 · 하늘보기 챌린저스 성공!      1 2 4,2022-09-28T01:14:30.000Z
24,"SAVESELLER@savesell7·Sep 19, 2022",SAVESELLER @savesell7 · 하늘보기 챌린저스 1일차!    1 3,2022-09-19T07:03:22.000Z
25,".@nonhe14·Sep 16, 2022",". @nonhe14 · 마감행 자주 하시는 분들, 덕질 하시는 분들 이왕이면 상금받고 합시다.

같이 그림습관 만들었으면 해서 챌린저스를 개설했습니다. 아마추어 프로 상관없이 그림생활 하는데 있어 보탬이 될 수 있도록 같이 노력했으면 합니다.

 
     1 2",2022-09-16T08:15:50.000Z
26,"이혜영@hiver48·Sep 16, 2022","이혜영 @hiver48 · 
        통해서 참여했는데요   관심 가지게 된 계기가 되어서 좋았고 지킬수 있는 부분 행동해야 되겠어요
   1",2022-09-16T06:20:09.000Z
27,"만보짠돌이@10000steb·Aug 25, 2022","만보짠돌이 @10000steb · 나만의냉장고 25일 채우신 흙크루분들이 계시다면
모두 축하드립니다 ^^
흙크루분들 모두 편안한 목요일밤 보내세요
                   4",2022-08-25T13:33:19.000Z
28,"만보짠돌이@10000steb·Aug 24, 2022","만보짠돌이 @10000steb · 흙크루분들 흙크루마을 채널영상을 확인해주세요 ^^
                   2 5",2022-08-24T12:00:09.000Z
29,"만보짠돌이@10000steb·Aug 23, 2022","만보짠돌이 @10000steb · 흙크루분들 모두 오늘도 고생많으셨습니다 
                   4",2022-08-23T12:51:36.000Z
30,"만보짠돌이@10000steb·Aug 22, 2022","만보짠돌이 @10000steb · 흙크루분들 모두 무난한 한주 보내셨으면 합니다 ^^
                   4",2022-08-22T11:21:19.000Z
31,"만보짠돌이@10000steb·Aug 21, 2022","만보짠돌이 @10000steb · 작업중인게 있어서 오늘은 일찍 인증합니다 ㅎㅎㅎ
흙크루분들 모두 편안한 일요일밤 보내셨으면 합니다
                   4",2022-08-21T10:25:29.000Z
32,"만보짠돌이@10000steb·Aug 20, 2022","만보짠돌이 @10000steb · 흙크루분들 모두 편안한 토요일밤 보내셨으면 합니다 ^^
                   4",2022-08-20T13:47:44.000Z
33,"만보짠돌이@10000steb·Aug 19, 2022","만보짠돌이 @10000steb · 드디어 주말이네요 ^^
흙크루분들 모쪼록 평안한 주말 보내셨으면 합니다
                   3",2022-08-19T14:19:10.000Z
34,"만보짠돌이@10000steb·Aug 18, 2022","만보짠돌이 @10000steb · 하루만 더 버티면 주말이네요 ㅎㅎ
흙크루분들 모두 평안한 밤 보내세요
                   2",2022-08-18T14:17:00.000Z
35,"만보짠돌이@10000steb·Aug 17, 2022","만보짠돌이 @10000steb · 이틀만 버티면 주말이네요 ㅎㅎ
흙크루분들 모두 편안한 밤 보내세요
                   2",2022-08-17T12:22:41.000Z
36,"만보짠돌이@10000steb·Aug 16, 2022","만보짠돌이 @10000steb · 다시 시작된 일상이네요 ㅎㅎ
흙크루분들 모두 힘찬 한주 보내셨으면 합니다
                   1",2022-08-16T11:42:21.000Z
37,"만보짠돌이@10000steb·Aug 15, 2022","만보짠돌이 @10000steb · 흙크루분들 모두 편안한 월요일밤 보내셨으면 합니다 ^^
                   1 3",2022-08-15T13:36:06.000Z
38,"만보짠돌이@10000steb·Aug 14, 2022","만보짠돌이 @10000steb · 흙크루분들 모두 평안한 광복절 보내셨으면 합니다 ^^
                   1 4",2022-08-14T12:23:37.000Z
39,"만보짠돌이@10000steb·Aug 13, 2022","만보짠돌이 @10000steb · 토요일이 빠르게 지나가네요 ㅎㅎ
흙크루분들 모두 편안한 일요일 보내셨으면 합니다
                   1",2022-08-13T12:37:54.000Z
40,"만보짠돌이@10000steb·Aug 12, 2022","만보짠돌이 @10000steb · 드디어 연휴네요 ㅎㅎㅎ
흙크루분들 모두 푹 쉬셨으면 합니다
                   1 4",2022-08-12T12:56:47.000Z
41,"트윗카당@twittkadang·Aug 12, 2022","트윗카당 @twittkadang · 앱테크 많이 하시죠?
만보기 어플도 많이 사용하시죠?

만보기 어플로 앱테크 하기 뭐가 좋은지 비교해 봤어요~

               solutionhere.co.kr solutionhere.co.kr 만보기 어플 앱테크 비교 정리 해드리겠습니다 만보기 어플 앱테크 비교 정리 해드리겠습니다 만보기 어플 이용해서 건강도 챙기고 보상을 받을 수 있는 방법이 다양하게 있습니다. 그 중 대표적인 5개의 어플을 비교 정리해서 알려드리겠습니다. 만보기 어플 이용해서 건강도 챙기고 보상을 받을 수 있는 방법이 다양하게 있습니다. 그 중 대표적인 5개의 어플을 비교 정리해서 알려드리겠습니다.",2022-08-12T09:49:54.000Z
42,"만보짠돌이@10000steb·Aug 11, 2022","만보짠돌이 @10000steb · 낮에 잠시 날씨가 밝았네요 ㅎㅎㅎ
흙크루분들 모두 모쪼록 푹 쉬셨으면 합니다
                   2",2022-08-11T11:16:11.000Z
43,"만보짠돌이@10000steb·Aug 10, 2022","만보짠돌이 @10000steb · 오늘은 날씨가 맑았네요 ㅎㅎㅎ
흙크루분들 모두 푹 쉬세요 ^^
                   2",2022-08-10T12:00:38.000Z
44,"만보짠돌이@10000steb·Aug 9, 2022","만보짠돌이 @10000steb · 비피해소식이 어마어마하네요 ㄷㄷ
흙크루분들께서는 모쪼록 무사하셨으면 합니다
                   3",2022-08-09T12:08:42.000Z
45,"Hanwha Life Esports@HLEofficial·Aug 8, 2022","Hanwha Life Esports @HLEofficial · 220808   승리 단체샷 
   16 43",2022-08-08T12:21:43.000Z
46,"만보짠돌이@10000steb·Aug 5, 2022","만보짠돌이 @10000steb · 흙크루분들 모쪼록 편안한 주말 보내셨으면 합니다
                   5",2022-08-05T14:08:21.000Z
