word,freq
많아졌네,31
급,31
바꾸셨으면,31
감탄할,31
개발해보고,31
사소한거,31
닳도록,31
것음,31
다른광고,31
지체하게,31
바쁠때,31
잡는,31
느낌임,31
나쁘다,31
불편해지기,31
심해지고,31
닫으,31
키는게,31
불편하지,31
콜라보나,31
다양해져,31
골라보,31
관심있던,31
인생삶은계란,31
찾았음,31
식품뷰티학습운동,31
최적화하,31
미친어플을이용할수가없잖아,31
웅,31
형성해주고,31
뿜뿜하게,31
도와줌,31
챌린지라는걸,31
바뀌어가는,31
생긴다,31
왠말인,31
ㅎㅎㅎㅎㅎㅎㅎ,31
믿져야,31
되잇고,31
없애는데,31
남겨야할지,31
왼쪽위,31
꺼졌음,31
간별,31
모아볼,31
계획짤,31
용이할,31
반영되면,31
잘쓰고있으니,31
인식하지,31
재연결,31
유투브나,31
실행되,31
리뷰글,31
개선해주실,31
피해보지,31
너무한거,31
재작년,31
되었구,31
지적하셨던,31
느리다고,31
되거나,31
속터지,31
가더군,31
수면기상샤워미션,31
키우는거,31
리뷰쓰러왔어,31
알깨고,31
귀엽네,31
소통기능,31
강아지한테,31
스킬같은걸,31
애착감,31
들거,31
두세달,31
안될거,31
업뎃해주시,31
원성,31
자자,31
말씀드리면,31
중간광고,31
끄게,31
진행률로,31
표시되어,31
헷갈립니다,31
순위인듯,31
식습관운동등,31
없는것그,31
좋답니다,31
생기도록,31
이용해볼랍니다,31
신설했다고,31
신경쓰는척,31
생색내더니,31
티내는거,31
이벤,31
포인트인가,31
치는,31
도와주기,31
올렸어요ㅠㅠ현재,31
써보면,31
장단점,31
나올거,31
챌린지보다,31
많아지는,31
번거롭고최근,31
나아지긴,31
줬었는,31
비해포인트,31
적게주는,31
안주,31
계속쓰,31
안좋아지는거,31
업로드돼,31
번해야,31
종료후,31
추천한게,31
부끄러워요,31
얼굴,31
선수,31
완벽하게,30
어려울,30
동기화,30
오네,30
는지,30
평생,30
안와,30
덕,30
켜지지,30
정상,30
로,30
필,30
해주고,30
바라,30
바람,30
너무좋아요,30
눌렀는,30
가능했으면,30
지나고,30
있기,30
수록,30
화나,30
색,30
보완,30
권,30
친구한테,30
가족,30
붙어,30
불편해,30
된,30
문제일까,30
당첨,30
될거,30
차,30
화,30
짜증나네,29
깔기,29
재부팅,29
스포츠,29
친절하게,29
고정,29
불안정,29
쫌,29
짱,29
재밌어요,29
운동량,29
하려는,29
도움이,29
안보,29
무척,29
첫화면,29
애용,29
규칙적,29
않았는,29
시작할,29
메시지,29
참여중,29
정해져,29
철저하게,29
란,29
친구들,29
열심히하게,29
강제적,29
까먹고,29
많으면,29
쭈욱,29
되다,29
최,29
게든,29
이어플,29
챌리지,29
누구나,29
두번째,29
불안,29
스쿼트,29
어플리케이션,28
땀,28
알려줘,28
하며,28
나고,28
어진,28
점심,28
추천받아,28
싶으면,28
가끔씩,28
전화,28
들어요,28
저만,28
두개,28
됐습니다,28
누구,28
ㅡㅡ,28
카테고리,28
안보여,28
인정,28
소통,28
문제점,28
가독성,28
들어오는,28
활성화,28
동일하게,28
사진첩,28
시작일,28
누르지,28
거같아,28
감사합니당,28
의도적,28
획득,28
대단,28
되구,28
던지,28
간,28
짧은기간,28
기업,28
카드결제,28
먹기,28
상,28
규칙,28
자고,28
사용하,28
대회,28
철저,28
내고,28
어쩌다,27
강도,27
소개,27
놓고,27
보는,27
그러,27
스트레칭,27
불가,27
길,27
좋은건,27
오지,27
재설정,27
하던지,27
좋아여,27
어플중,27
페북,27
아닌거,27
튕깁니다,27
튕겨,27
쿠팡,27
섭취,27
요즘들어,27
잦습니다,27
다이어트할,27
가벼운,27
리스트,27
수정해주시면,27
알림설정,27
떠납니다,27
문의사항,27
수정할,27
클리어,27
바뀌었으면,27
안보이,27
안되겠,27
분단위,27
어플상,27
지속할,27
간단하,27
딱이,27
짜증남,27
몇시,27
먹는,27
소중,27
마세,27
무,27
나온,27
갑니다,27
일어나게,27
로고,27
계좌,27
많아요,27
무언,27
느려,27
자정,27
가질,27
봄,27
챌린저스덕분,27
애정,27
남았는,27
선수들,27
별로임,26
전반적,26
시점,26
운동중,26
아는,26
안넘어가,26
그나마,26
한국,26
아니다,26
뜨며,26
주소,26
다른앱,26
필요할,26
개월,26
해결되면,26
아쉬움,26
나옴,26
하얀색,26
토,26
효율적,26
다운받아,26
장점인,26
도전할수,26
있습니당,26
하얀배경,26
귀찮게,26
올릴때,26
뭘까,26
요금제,26
아마,26
잡기,26
쓰던,26
습관개선,26
성공률,26
작심,26
들어왔는,26
없었는,26
도달,26
특별상금,26
누군가,26
모르게,26
생각됩니다,26
몇십원,26
저렴,26
갓생,26
들일,26
기프티콘,26
